model,n_gold,n_degraded,mean_hardest,mean_easiest,mean_gap,deg_pct
microsoft/phi-4,21,16,0.7674208034569105,1.0,0.271906193200441,76.19047619047619
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,12,8,0.8147885013714166,1.0,0.2957964601769912,66.66666666666666
google/gemma-4-26B-A4B-it,31,20,0.8369006170100942,1.0,0.1963378850132169,64.51612903225806
internlm/internlm2_5-20b-chat,8,5,0.8449046841287616,1.0,0.33628318584070793,62.5
Qwen/Qwen2.5-32B-Instruct,41,25,0.8460297668433407,1.0,0.19781677621437418,60.97560975609756
google/gemma-3-27b-it,35,20,0.8379005875839743,1.0,0.204514274647018,57.14285714285714
Qwen/Qwen3.5-9B,30,17,0.8306818092637962,1.0,0.21982185204465268,56.666666666666664
Qwen/Qwen2.5-72B-Instruct-AWQ,21,11,0.8180840881792496,1.0,0.3015172411391237,52.38095238095239
Qwen/Qwen3-32B,13,6,0.8882417242623359,1.0,0.20858734841035723,46.15384615384615
Qwen/Qwen3.5-35B-A3B,16,7,0.872882414822669,1.0,0.2733988909320768,43.75
Qwen/Qwen3-8B,7,3,0.8490739655374806,,,42.857142857142854
Qwen/Qwen3.5-27B,28,12,0.8689668211285744,1.0,0.17304367040460591,42.857142857142854
google/gemma-4-31B-it,19,8,0.8897668188957292,1.0,0.1613349838460458,42.10526315789473
Qwen/Qwen2.5-7B-Instruct,10,4,0.8817165094759399,1.0,0.37168141592920356,40.0
Qwen/Qwen3-14B,8,3,0.905185254986579,1.0,0.2079646017699115,37.5
Qwen/Qwen2.5-14B-Instruct,11,4,0.91470981292649,1.0,0.2168141592920354,36.36363636363637
google/gemma-4-E4B-it,9,3,0.9035086298603212,1.0,0.18584070796460173,33.33333333333333
mistralai/Mistral-Small-24B-Instruct-2501,12,4,0.9377318762775196,1.0,0.19469026548672563,33.33333333333333
Qwen/Qwen3.5-4B,10,3,0.8773404291213065,1.0,0.47787610619469023,30.0
google/gemma-4-E2B-it,10,3,0.8997734754476182,1.0,0.41150442477876104,30.0
deepseek-ai/DeepSeek-V2-Lite-Chat,7,1,0.9388717889029374,,,14.285714285714285
