model,mean_agreement,std_agreement,n_questions,gold_rate,ability_logit
google/gemma-3-27b-it,0.35901048465834345,0.31649304457886235,293,0.09897610921501707,-0.5796615068273525
Qwen/Qwen2.5-32B-Instruct,0.3568633010271443,0.33725006707256644,293,0.11945392491467577,-0.5890044990829096
Qwen/Qwen2.5-72B-Instruct-AWQ,0.3558876844675594,0.30247234015398594,293,0.05460750853242321,-0.5932579258936337
google/gemma-4-26B-A4B-it,0.3170448944961637,0.31483576449284806,293,0.08532423208191127,-0.7673857392176742
microsoft/phi-4,0.3128192855597324,0.28621395483651746,293,0.040955631399317405,-0.7869716449335882
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,0.3084061474840091,0.24778439865948043,293,0.023890784982935155,-0.8075812900176518
Qwen/Qwen3.5-9B,0.30774225606545036,0.3104461971361263,293,0.07167235494880546,-0.8106957469252012
Qwen/Qwen3-32B,0.30608992461986856,0.26136684071027877,293,0.04436860068259386,-0.8184634476436792
Qwen/Qwen3.5-27B,0.2943984568765619,0.31783284758507724,293,0.07508532423208192,-0.8741165464032953
Qwen/Qwen2.5-14B-Instruct,0.2757945156707963,0.2661952699589642,293,0.03754266211604096,-0.9654190902572651
deepseek-ai/DeepSeek-V2-Lite-Chat,0.2517603700821115,0.23957211147474994,293,0.023890784982935155,-1.0892455647878292
google/gemma-4-31B-it,0.24574347233999852,0.30060986494614006,293,0.05802047781569966,-1.1214443360290636
Qwen/Qwen3.5-35B-A3B,0.24452294270715602,0.26450587534274295,293,0.051194539249146756,-1.1280402739553015
Qwen/Qwen3.5-4B,0.22358869569145556,0.22742441421248485,293,0.030716723549488054,-1.2448742270303368
Qwen/Qwen2.5-7B-Instruct,0.20367912008962308,0.21209792297987873,293,0.027303754266211604,-1.3634564053434362
Qwen/Qwen3-14B,0.20243681837826757,0.20188580224782374,293,0.027303754266211604,-1.3711332262715366
internlm/internlm2_5-20b-chat,0.1837076964539328,0.18987486217429572,293,0.017064846416382253,-1.4914266177428512
google/gemma-4-E2B-it,0.18286768374630602,0.20841683091445218,293,0.030716723549488054,-1.4970381838612699
mistralai/Mistral-Small-24B-Instruct-2501,0.18101288317387998,0.23265535124270165,293,0.040955631399317405,-1.5095001468692555
google/gemma-4-E4B-it,0.1760904501591592,0.20381636325508912,293,0.027303754266211604,-1.5430629698890603
Qwen/Qwen3-8B,0.11768345681101573,0.17690424205676292,293,0.017064846416382253,-2.014552433594317
